TOTAL	1143
FILE	23	src/uais/fusion/attention/m3dm_features.py
FILE	3	notebooks/80_vision_forgery_detection.ipynb:cell 9
FILE	1	src/elara/family_b/__init__.py
FILE	3	tests/test_learned_gate.py
FILE	1	src/uais/fusion/attention/reliability_boosted_fusion.py
FILE	30	src/uais/fusion/attention/counterfactual_explainer.py
FILE	3	dashboard/components/anomaly_insights_tab.py
FILE	2	scripts/api_latency_check.py
FILE	4	src/scripts/emit_locked_audited_statistics.py
FILE	2	src/scripts/prepare_healthcare_fusion_benchmark.py
FILE	7	src/uais/config/config_loader.py
FILE	1	src/uais/explainability/gradcam_explainer.py
FILE	3	src/scripts/prepare_real3d_fusion_benchmark.py
FILE	1	tests/test_baselines.py
FILE	18	src/uais/fusion/attention/adversarial_robustness.py
FILE	3	src/uais/utils/result_aggregation.py
FILE	1	src/orchestration/vision_flow.py
FILE	2	src/uais/utils/paths.py
FILE	1	src/scripts/emit_mvtec3d_assets.py
FILE	18	src/uais/sequence/transformer_tcn.py
FILE	1	src/scripts/validate_manuscript_claims.py
FILE	3	src/scripts/prepare_mvtec3d_fusion_benchmark.py
FILE	2	src/uais/app/predict_example.py
FILE	2	src/scripts/download_mvtec3d_kaggle_subset.py
FILE	1	src/uais/fusion/attention/__init__.py
FILE	4	tests/test_cv_evaluator.py
FILE	3	src/elara/family_b/corruption.py
FILE	2	src/uais/preprocessing/pipeline.py
FILE	4	src/scripts/audit_canonical_label_semantics.py
FILE	1	src/uais/features/behavior_features.py
FILE	1	src/scripts/family_d_v3_fill_test_labels.py
FILE	14	src/uais/fusion/attention/learned_gate.py
FILE	1	src/scripts/run_phase2_mechanism_replication.py
FILE	1	src/scripts/eval_gradient_adversarial.py
FILE	4	notebooks/00_data_overview.ipynb:cell 1
FILE	3	tests/test_phase2_2b1_driver_computation.py
FILE	1	src/elara/certification/__init__.py
FILE	2	tests/test_dim_reduction.py
FILE	4	src/uais/supervised/evaluate_supervised.py
FILE	10	deploy/api/monitoring.py
FILE	1	tests/test_leakage_guard.py
FILE	2	src/uais/drift/drift_nlp.py
FILE	1	tests/test_phase2_family_a_k5_primary_surface.py
FILE	2	src/uais/fusion/attention/validate_fusion_inputs.py
FILE	22	src/uais/fusion/attention/cv_evaluator.py
